Percentage served,Time in ms
0,145.486
1,168.246
2,174.147
3,178.818
4,182.142
5,185.060
6,189.714
7,193.251
8,197.022
9,200.116
10,203.211
11,206.677
12,210.279
13,213.588
14,216.232
15,218.585
16,220.950
17,224.097
18,226.932
19,229.726
20,232.920
21,237.199
22,240.066
23,243.499
24,247.653
25,250.495
26,253.382
27,255.579
28,257.739
29,260.452
30,263.728
31,266.186
32,268.503
33,271.270
34,273.366
35,275.064
36,277.216
37,279.145
38,281.347
39,283.702
40,285.923
41,287.982
42,289.616
43,291.530
44,293.436
45,295.932
46,297.547
47,299.189
48,301.393
49,303.151
50,305.232
51,306.683
52,309.310
53,310.950
54,312.490
55,313.846
56,315.353
57,317.007
58,318.580
59,320.002
60,321.438
61,323.303
62,325.024
63,326.748
64,328.270
65,330.184
66,331.890
67,333.274
68,335.248
69,336.492
70,338.147
71,339.655
72,340.906
73,342.878
74,344.557
75,346.270
76,347.750
77,349.071
78,350.967
79,352.724
80,354.480
81,356.974
82,359.270
83,361.666
84,363.800
85,365.824
86,368.976
87,371.519
88,374.478
89,377.450
90,379.999
91,382.016
92,385.517
93,389.507
94,394.531
95,399.951
96,406.744
97,415.980
98,425.581
99,439.005
100,482.228
