Percentage served,Time in ms
0,591.221
1,591.221
2,591.221
3,591.449
4,591.449
5,591.449
6,591.449
7,591.449
8,591.482
9,591.482
10,591.482
11,591.482
12,591.482
13,591.496
14,591.496
15,591.496
16,591.496
17,591.496
18,591.498
19,591.498
20,591.498
21,591.498
22,591.498
23,591.510
24,591.510
25,591.510
26,591.510
27,591.510
28,591.552
29,591.552
30,591.552
31,591.552
32,591.552
33,591.561
34,591.561
35,591.561
36,591.561
37,591.561
38,591.691
39,591.691
40,591.691
41,591.691
42,591.691
43,592.014
44,592.014
45,592.014
46,592.014
47,592.014
48,592.052
49,592.052
50,592.052
51,592.052
52,592.052
53,592.077
54,592.077
55,592.077
56,592.077
57,592.077
58,592.084
59,592.084
60,592.084
61,592.084
62,592.084
63,592.112
64,592.112
65,592.112
66,592.112
67,592.112
68,592.230
69,592.230
70,592.230
71,592.230
72,592.230
73,592.299
74,592.299
75,592.299
76,592.299
77,592.299
78,592.424
79,592.424
80,592.424
81,592.424
82,592.424
83,592.439
84,592.439
85,592.439
86,592.439
87,592.439
88,592.744
89,592.744
90,592.744
91,592.744
92,592.744
93,607.227
94,607.227
95,607.227
96,607.227
97,607.227
98,3544139754885357.500
99,3544139754885357.500
100,607.227
