Percentage served,Time in ms
0,141.824
1,207.923
2,207.923
3,208.016
4,208.069
5,208.282
6,208.282
7,208.299
8,208.567
9,208.567
10,208.681
11,208.806
12,208.806
13,209.101
14,209.856
15,210.093
16,210.093
17,210.133
18,210.136
19,210.136
20,210.200
21,210.247
22,210.247
23,210.259
24,210.595
25,210.797
26,210.797
27,216.234
28,216.520
29,216.520
30,216.569
31,216.790
32,216.790
33,216.807
34,216.877
35,216.979
36,216.979
37,217.504
38,225.717
39,225.717
40,225.868
41,225.901
42,225.901
43,226.131
44,226.251
45,226.376
46,226.376
47,226.859
48,247.734
49,247.734
50,248.964
51,249.368
52,249.368
53,249.400
54,249.746
55,250.784
56,250.784
57,250.857
58,263.235
59,263.235
60,265.101
61,269.760
62,269.760
63,279.780
64,294.488
65,295.829
66,295.829
67,306.206
68,307.068
69,307.068
70,307.973
71,308.064
72,308.064
73,308.105
74,308.112
75,324.461
76,324.461
77,325.673
78,327.105
79,327.105
80,340.853
81,343.893
82,343.893
83,353.207
84,353.848
85,359.835
86,359.835
87,361.070
88,361.535
89,361.535
90,376.384
91,376.723
92,376.723
93,377.745
94,388.212
95,390.665
96,390.665
97,421.650
98,429.971
99,429.971
100,429.971
