Percentage served,Time in ms
0,121.260
1,121.260
2,121.260
3,121.260
4,121.260
5,121.316
6,121.316
7,121.316
8,121.316
9,121.316
10,121.316
11,121.316
12,121.316
13,121.316
14,121.316
15,121.321
16,121.321
17,121.321
18,121.321
19,121.321
20,121.321
21,121.321
22,121.321
23,121.321
24,121.321
25,121.348
26,121.348
27,121.348
28,121.348
29,121.348
30,121.348
31,121.348
32,121.348
33,121.348
34,121.348
35,121.368
36,121.368
37,121.368
38,121.368
39,121.368
40,121.368
41,121.368
42,121.368
43,121.368
44,121.368
45,121.409
46,121.409
47,121.409
48,121.409
49,121.409
50,121.409
51,121.409
52,121.409
53,121.409
54,121.409
55,132.895
56,132.895
57,132.895
58,132.895
59,132.895
60,132.895
61,132.895
62,132.895
63,132.895
64,132.895
65,132.956
66,132.956
67,132.956
68,132.956
69,132.956
70,132.956
71,132.956
72,132.956
73,132.956
74,132.956
75,133.008
76,133.008
77,133.008
78,133.008
79,133.008
80,133.008
81,133.008
82,133.008
83,133.008
84,133.008
85,145.713
86,145.713
87,145.713
88,145.713
89,145.713
90,145.713
91,145.713
92,145.713
93,145.713
94,145.713
95,5788344089836676.000
96,5788344089836676.000
97,5788344089836676.000
98,5788344089836676.000
99,5788344089836676.000
100,145.713
