Percentage served,Time in ms
0,577.810
1,592.223
2,592.223
3,593.306
4,593.306
5,593.929
6,593.929
7,594.019
8,594.019
9,594.228
10,594.228
11,594.437
12,594.437
13,594.733
14,594.733
15,594.743
16,594.743
17,594.777
18,594.777
19,594.783
20,594.783
21,595.560
22,595.560
23,596.533
24,596.533
25,597.251
26,597.251
27,597.577
28,597.577
29,599.082
30,599.082
31,808.414
32,808.414
33,817.350
34,817.350
35,820.288
36,820.288
37,823.067
38,823.067
39,827.304
40,827.304
41,828.016
42,828.016
43,828.198
44,828.198
45,828.221
46,828.221
47,828.239
48,828.239
49,828.512
50,828.512
51,829.424
52,829.424
53,829.536
54,829.536
55,832.169
56,832.169
57,833.100
58,833.100
59,835.579
60,835.579
61,842.553
62,842.553
63,843.491
64,843.491
65,843.558
66,843.558
67,844.448
68,844.448
69,845.313
70,845.313
71,845.356
72,845.356
73,845.451
74,845.451
75,846.904
76,846.904
77,851.460
78,851.460
79,872.018
80,872.018
81,878.888
82,878.888
83,879.103
84,879.103
85,879.352
86,879.352
87,879.751
88,879.751
89,880.124
90,880.124
91,880.359
92,880.359
93,880.636
94,880.636
95,880.935
96,880.935
97,885.809
98,885.809
99,3544139754885357.500
100,885.809
