Percentage served,Time in ms
0,114.674
1,114.674
2,114.674
3,114.674
4,114.674
5,114.748
6,114.748
7,114.748
8,114.748
9,114.748
10,114.748
11,114.748
12,114.748
13,114.748
14,114.748
15,114.820
16,114.820
17,114.820
18,114.820
19,114.820
20,114.820
21,114.820
22,114.820
23,114.820
24,114.820
25,114.839
26,114.839
27,114.839
28,114.839
29,114.839
30,114.839
31,114.839
32,114.839
33,114.839
34,114.839
35,114.908
36,114.908
37,114.908
38,114.908
39,114.908
40,114.908
41,114.908
42,114.908
43,114.908
44,114.908
45,114.947
46,114.947
47,114.947
48,114.947
49,114.947
50,114.947
51,114.947
52,114.947
53,114.947
54,114.947
55,114.950
56,114.950
57,114.950
58,114.950
59,114.950
60,114.950
61,114.950
62,114.950
63,114.950
64,114.950
65,115.005
66,115.005
67,115.005
68,115.005
69,115.005
70,115.005
71,115.005
72,115.005
73,115.005
74,115.005
75,115.145
76,115.145
77,115.145
78,115.145
79,115.145
80,115.145
81,115.145
82,115.145
83,115.145
84,115.145
85,127.098
86,127.098
87,127.098
88,127.098
89,127.098
90,127.098
91,127.098
92,127.098
93,127.098
94,127.098
95,5788344089836676.000
96,5788344089836676.000
97,5788344089836676.000
98,5788344089836676.000
99,5788344089836676.000
100,127.098
