Percentage served,Time in ms
0,154.846
1,154.846
2,154.846
3,154.846
4,154.846
5,154.863
6,154.863
7,154.863
8,154.863
9,154.863
10,154.863
11,154.863
12,154.863
13,154.863
14,154.863
15,154.865
16,154.865
17,154.865
18,154.865
19,154.865
20,154.865
21,154.865
22,154.865
23,154.865
24,154.865
25,154.891
26,154.891
27,154.891
28,154.891
29,154.891
30,154.891
31,154.891
32,154.891
33,154.891
34,154.891
35,154.913
36,154.913
37,154.913
38,154.913
39,154.913
40,154.913
41,154.913
42,154.913
43,154.913
44,154.913
45,155.062
46,155.062
47,155.062
48,155.062
49,155.062
50,155.062
51,155.062
52,155.062
53,155.062
54,155.062
55,180.415
56,180.415
57,180.415
58,180.415
59,180.415
60,180.415
61,180.415
62,180.415
63,180.415
64,180.415
65,180.494
66,180.494
67,180.494
68,180.494
69,180.494
70,180.494
71,180.494
72,180.494
73,180.494
74,180.494
75,180.504
76,180.504
77,180.504
78,180.504
79,180.504
80,180.504
81,180.504
82,180.504
83,180.504
84,180.504
85,201.743
86,201.743
87,201.743
88,201.743
89,201.743
90,201.743
91,201.743
92,201.743
93,201.743
94,201.743
95,5788344089836676.000
96,5788344089836676.000
97,5788344089836676.000
98,5788344089836676.000
99,5788344089836676.000
100,201.743
