Percentage served,Time in ms
0,574.003
1,574.003
2,574.003
3,574.003
4,574.003
5,574.003
6,574.003
7,574.003
8,574.003
9,574.003
10,578.600
11,578.600
12,578.600
13,578.600
14,578.600
15,578.600
16,578.600
17,578.600
18,578.600
19,578.600
20,578.600
21,578.600
22,578.600
23,578.600
24,578.600
25,578.600
26,578.600
27,578.600
28,578.600
29,578.600
30,591.664
31,591.664
32,591.664
33,591.664
34,591.664
35,591.664
36,591.664
37,591.664
38,591.664
39,591.664
40,591.664
41,591.664
42,591.664
43,591.664
44,591.664
45,591.664
46,591.664
47,591.664
48,591.664
49,591.664
50,1147.769
51,1147.769
52,1147.769
53,1147.769
54,1147.769
55,1147.769
56,1147.769
57,1147.769
58,1147.769
59,1147.769
60,1147.769
61,1147.769
62,1147.769
63,1147.769
64,1147.769
65,1147.769
66,1147.769
67,1147.769
68,1147.769
69,1147.769
70,1722.244
71,1722.244
72,1722.244
73,1722.244
74,1722.244
75,1722.244
76,1722.244
77,1722.244
78,1722.244
79,1722.244
80,1722.244
81,1722.244
82,1722.244
83,1722.244
84,1722.244
85,1722.244
86,1722.244
87,1722.244
88,1722.244
89,1722.244
90,3544139754885357.500
91,3544139754885357.500
92,3544139754885357.500
93,3544139754885357.500
94,3544139754885357.500
95,3544139754885357.500
96,3544139754885357.500
97,3544139754885357.500
98,3544139754885357.500
99,3544139754885357.500
100,1722.244
