Percentage served,Time in ms
0,124.788
1,130.734
2,133.197
3,237.884
4,239.019
5,347.747
6,347.747
7,348.786
8,456.756
9,458.738
10,567.441
11,568.241
12,676.689
13,677.755
14,783.442
15,784.552
16,784.552
17,891.519
18,892.545
19,998.525
20,998.772
21,1104.875
22,1107.135
23,1212.769
24,1213.604
25,1318.545
26,1318.545
27,1320.471
28,1425.464
29,1426.119
30,1532.556
31,1533.714
32,1638.950
33,1640.055
34,1744.726
35,1746.643
36,1746.643
37,1852.400
38,1853.211
39,1958.872
40,1959.904
41,2065.402
42,2065.629
43,2171.175
44,2173.408
45,2279.100
46,2279.100
47,2279.189
48,2385.724
49,2387.135
50,2492.461
51,2492.632
52,2599.236
53,2600.694
54,2704.416
55,2705.161
56,2705.161
57,2823.258
58,2939.772
59,3056.202
60,3171.792
61,3289.345
62,3405.935
63,3522.374
64,3638.863
65,3755.089
66,3755.089
67,3871.491
68,3988.020
69,4104.796
70,4221.317
71,4337.843
72,4454.546
73,4571.089
74,4687.640
75,4803.354
76,4803.354
77,4920.836
78,5037.551
79,5154.101
80,5271.586
81,5388.476
82,5505.597
83,5622.698
84,5739.474
85,5855.751
86,5855.751
87,5973.668
88,6090.495
89,6206.532
90,6324.472
91,6441.126
92,6557.900
93,6674.608
94,6791.465
95,6908.217
96,6908.217
97,7024.261
98,7142.092
99,7259.083
100,7259.083
