Percentage served,Time in ms
0,156.142
1,156.240
2,156.240
3,156.325
4,156.325
5,156.326
6,156.326
7,156.373
8,156.373
9,156.379
10,156.379
11,156.536
12,156.536
13,157.864
14,157.864
15,157.976
16,157.976
17,158.002
18,158.002
19,158.075
20,158.075
21,158.180
22,158.180
23,158.204
24,158.204
25,158.224
26,158.224
27,158.535
28,158.535
29,159.693
30,159.693
31,215.497
32,215.497
33,215.585
34,215.585
35,215.695
36,215.695
37,215.854
38,215.854
39,215.894
40,215.894
41,215.997
42,215.997
43,216.030
44,216.030
45,216.048
46,216.048
47,216.065
48,216.065
49,216.180
50,216.180
51,216.319
52,216.319
53,216.631
54,216.631
55,216.675
56,216.675
57,216.851
58,216.851
59,216.922
60,216.922
61,216.936
62,216.936
63,217.169
64,217.169
65,217.197
66,217.197
67,217.252
68,217.252
69,217.505
70,217.505
71,259.810
72,259.810
73,259.979
74,259.979
75,260.083
76,260.083
77,260.183
78,260.183
79,260.189
80,260.189
81,260.281
82,260.281
83,261.573
84,261.573
85,261.613
86,261.613
87,261.696
88,261.696
89,261.950
90,261.950
91,262.078
92,262.078
93,263.958
94,263.958
95,299.704
96,299.704
97,315.438
98,315.438
99,5788344089836676.000
100,315.438
