Percentage served,Time in ms
0,575.678
1,575.678
2,589.694
3,589.694
4,590.994
5,590.994
6,590.994
7,591.245
8,591.245
9,591.488
10,591.488
11,591.488
12,591.505
13,591.505
14,591.508
15,591.508
16,591.508
17,591.510
18,591.510
19,591.565
20,591.565
21,591.565
22,591.662
23,591.662
24,591.743
25,591.743
26,591.743
27,591.798
28,591.798
29,591.838
30,591.838
31,591.838
32,591.843
33,591.843
34,591.991
35,591.991
36,591.991
37,592.091
38,592.091
39,592.274
40,592.274
41,592.274
42,592.324
43,592.324
44,592.330
45,592.330
46,592.330
47,592.521
48,592.521
49,592.545
50,592.545
51,592.545
52,592.888
53,592.888
54,592.900
55,592.900
56,592.900
57,592.997
58,592.997
59,609.620
60,609.620
61,609.620
62,626.016
63,626.016
64,799.780
65,799.780
66,799.780
67,800.038
68,800.038
69,811.842
70,811.842
71,811.842
72,814.506
73,814.506
74,815.021
75,815.021
76,815.021
77,818.052
78,818.052
79,824.287
80,824.287
81,824.287
82,826.209
83,826.209
84,830.332
85,830.332
86,830.332
87,832.992
88,832.992
89,835.524
90,835.524
91,835.524
92,837.415
93,837.415
94,850.286
95,850.286
96,850.286
97,852.685
98,852.685
99,3544139754885357.500
100,852.685
