Percentage served,Time in ms
0,132.320
1,216.699
2,216.699
3,216.735
4,217.150
5,217.812
6,217.812
7,217.984
8,218.008
9,218.008
10,218.067
11,218.101
12,218.101
13,218.106
14,218.140
15,218.154
16,218.154
17,218.216
18,218.243
19,218.243
20,218.254
21,218.312
22,218.312
23,218.327
24,218.365
25,218.468
26,218.468
27,218.946
28,218.970
29,218.970
30,219.144
31,219.592
32,219.592
33,221.924
34,224.065
35,224.968
36,224.968
37,225.085
38,226.297
39,226.297
40,226.526
41,228.724
42,228.724
43,229.177
44,229.229
45,231.018
46,231.018
47,231.334
48,233.097
49,233.097
50,233.123
51,238.361
52,238.361
53,238.554
54,238.919
55,239.848
56,239.848
57,240.231
58,240.501
59,240.501
60,243.578
61,244.140
62,244.140
63,246.223
64,246.451
65,246.492
66,246.492
67,266.273
68,267.162
69,267.162
70,267.603
71,276.111
72,276.111
73,278.267
74,279.790
75,280.037
76,280.037
77,280.925
78,289.104
79,289.104
80,289.218
81,290.727
82,290.727
83,291.463
84,333.442
85,358.330
86,358.330
87,358.897
88,359.013
89,359.013
90,359.265
91,359.344
92,359.344
93,359.529
94,360.479
95,360.492
96,360.492
97,364.571
98,378.056
99,378.056
100,378.056
